date,average,max,sum
2020-09-10,3844.0416666666665,4890,92257
2020-09-11,3962.2916666666665,5096,95095
2020-09-12,3123.9583333333335,3538,74975
2020-09-13,2862.3333333333335,3403,68696
2020-09-14,3230.7083333333335,4029,77537
2020-09-15,3277.4583333333335,4050,78659
2020-09-16,3238.6666666666665,3921,77728
2020-09-17,3398.5833333333335,4124,81566
2020-09-18,3770.7916666666665,4822,90499
2020-09-19,3043.0833333333335,3443,73034
2020-09-20,2617.7916666666665,3065,62827
2020-09-21,2690.9166666666665,3172,64582
2020-09-22,2781.5,3265,66756
2020-09-23,2999.625,3547,71991
2020-09-24,2969.3333333333335,3445,71264
2020-09-25,2958.5833333333335,3463,71006
2020-09-26,2655.9583333333335,3020,63743
2020-09-27,2495.5416666666665,2966,59893
2020-09-28,2869.1666666666665,3463,68860
2020-09-29,2859.75,3355,68634
2020-09-30,2844.3333333333335,3338,68264
2020-10-01,2910.2083333333335,3408,69845
2020-10-02,2934.1666666666665,3517,70420
2020-10-03,2663.0833333333335,3053,63914
2020-10-04,2532.2916666666665,3030,60775
2020-10-05,2938.8333333333335,3516,70532
2020-10-06,2928.8333333333335,3424,70292
2020-10-07,2925.5833333333335,3435,70214
2020-10-08,2967.7083333333335,3476,71225
2020-10-09,3007.2916666666665,3523,72175
2020-10-10,2760.9166666666665,3150,66262
2020-10-11,2512.1666666666665,2993,60292
2020-10-12,2891.0833333333335,3478,69386
2020-10-13,3003.0833333333335,3536,72074
2020-10-14,2916.125,3403,69987
2020-10-15,2941.5833333333335,3436,70598
2020-10-16,2881.5,3320,69156
2020-10-17,2811.4583333333335,3248,67475
2020-10-18,2556.125,2998,61347
2020-10-19,3025.3333333333335,3661,72608
2020-10-20,2986.9583333333335,3408,71687
2020-10-21,2930.5416666666665,3382,70333
2020-10-22,2960.5,3446,71052
2020-10-23,2999.9583333333335,3461,71999
2020-10-24,2622.0416666666665,2992,62929
2020-10-25,2503.9583333333335,2955,60095
2020-10-26,2878.4583333333335,3371,69083
2020-10-27,2939.25,3408,70542
2020-10-28,2947.4583333333335,3418,70739
2020-10-29,2922.9166666666665,3391,70150
2020-10-30,2940.625,3396,70575
2020-10-31,2687.5416666666665,3051,64501
2020-11-01,2585.5,3005,62052
2020-11-02,2912.0416666666665,3458,69889
2020-11-03,2811.7083333333335,3267,67481
2020-11-04,2991.1666666666665,3508,71788
2020-11-05,3042.9166666666665,3516,73030
2020-11-06,3107.875,3612,74589
2020-11-07,2805.0,3160,67320
2020-11-08,2566.8333333333335,3007,61604
2020-11-09,2980.1666666666665,3567,71524
2020-11-10,3134.875,3683,75237
2020-11-11,3201.25,3739,76830
